Gen,Best,Worst,Avg,Timestamp
390,6.53760,10.81318,7.78713,2017-12-04 21:00:16
391,6.53760,11.09572,7.78819,2017-12-04 21:00:20
392,6.53760,10.70607,7.80833,2017-12-04 21:00:25
393,6.53760,10.82127,7.82010,2017-12-04 21:00:30
394,6.53760,10.85517,7.81406,2017-12-04 21:00:35
395,6.53760,11.70366,7.75418,2017-12-04 21:00:39
396,6.53760,11.05083,7.72391,2017-12-04 21:00:44
397,6.53760,11.56875,7.75704,2017-12-04 21:00:49
398,6.53760,10.97629,7.73162,2017-12-04 21:00:54
399,6.53760,10.97883,7.73153,2017-12-04 21:00:59
400,6.53760,11.24253,7.68634,2017-12-04 21:01:04
401,6.53580,10.87509,7.65491,2017-12-04 21:01:09
402,6.53580,11.54670,7.55916,2017-12-04 21:01:13
403,6.53580,10.27190,7.66009,2017-12-04 21:01:17
404,6.53580,10.02208,7.68872,2017-12-04 21:01:20
405,6.53580,10.35395,7.70610,2017-12-04 21:01:24
406,6.53580,10.62764,7.69891,2017-12-04 21:01:28
407,6.53580,10.23269,7.76369,2017-12-04 21:01:32
408,6.53580,10.39981,7.80089,2017-12-04 21:01:36
409,6.53580,10.42208,7.85223,2017-12-04 21:01:40
410,6.53580,10.72417,7.82475,2017-12-04 21:01:45
411,6.53580,10.81101,7.85409,2017-12-04 21:01:49
412,6.53580,10.66880,7.83413,2017-12-04 21:01:53
413,6.53580,10.55718,7.90631,2017-12-04 21:01:57
414,6.53580,10.67437,7.94980,2017-12-04 21:02:02
415,6.53580,10.53786,7.95546,2017-12-04 21:02:06
416,6.53580,10.92065,7.93169,2017-12-04 21:02:10
417,6.53580,11.17925,7.85696,2017-12-04 21:02:15
418,6.53580,11.32517,7.79281,2017-12-04 21:02:19
419,6.53580,10.60298,7.75446,2017-12-04 21:02:23
420,6.53580,10.44385,7.73044,2017-12-04 21:02:28
421,6.53580,10.97576,7.74473,2017-12-04 21:02:32
422,6.53580,10.61734,7.75467,2017-12-04 21:02:37
423,6.53580,10.20536,7.70491,2017-12-04 21:02:42
424,6.53580,10.89396,7.72977,2017-12-04 21:02:46
425,6.53580,10.72672,7.70357,2017-12-04 21:02:51
426,6.53580,10.51894,7.66929,2017-12-04 21:02:56
427,6.53580,11.15514,7.71437,2017-12-04 21:03:00
428,6.53580,10.78530,7.69252,2017-12-04 21:03:05
429,6.53580,10.83791,7.65269,2017-12-04 21:03:10
430,6.53580,10.79474,7.65455,2017-12-04 21:03:15
431,6.53580,10.43441,7.66800,2017-12-04 21:03:20
432,6.53580,10.30931,7.67455,2017-12-04 21:03:25
433,6.53580,10.90364,7.65809,2017-12-04 21:03:30
434,6.53580,10.67540,7.63891,2017-12-04 21:03:35
435,6.53580,10.67232,7.64412,2017-12-04 21:03:40
436,6.53580,10.69236,7.61396,2017-12-04 21:03:45
437,6.53580,11.07420,7.63050,2017-12-04 21:03:51
438,6.47535,10.84787,7.61364,2017-12-04 21:03:56
439,6.47535,9.47603,7.52817,2017-12-04 21:04:00
440,6.47535,10.35475,7.63133,2017-12-04 21:04:04
441,6.47535,10.06609,7.66134,2017-12-04 21:04:08
442,6.47535,10.00532,7.64173,2017-12-04 21:04:12
443,6.47535,10.57880,7.66855,2017-12-04 21:04:16
444,6.47535,10.59337,7.67674,2017-12-04 21:04:20
445,6.47535,10.29853,7.75892,2017-12-04 21:04:24
446,6.47535,10.61334,7.70532,2017-12-04 21:04:28
447,6.47535,10.50044,7.75970,2017-12-04 21:04:32
448,6.47535,10.40545,7.74460,2017-12-04 21:04:36
449,6.47535,11.20040,7.78965,2017-12-04 21:04:40
450,6.47535,10.42209,7.77275,2017-12-04 21:04:45
451,6.47535,10.83747,7.74693,2017-12-04 21:04:49
452,6.47535,10.60011,7.77375,2017-12-04 21:04:53
453,6.47535,10.25493,7.76257,2017-12-04 21:04:58
454,6.47535,10.86818,7.77898,2017-12-04 21:05:02
455,6.47535,11.12578,7.74024,2017-12-04 21:05:07
456,6.47535,11.31880,7.75756,2017-12-04 21:05:11
457,6.47535,10.78601,7.69509,2017-12-04 21:05:16
458,6.47535,10.56339,7.66268,2017-12-04 21:05:20
459,6.47535,10.70746,7.70669,2017-12-04 21:05:25
460,6.47535,10.77378,7.68041,2017-12-04 21:05:30
461,6.47535,10.56682,7.65789,2017-12-04 21:05:34
